# REFERENCE ONLY - do NOT pass this file to Invoke-QuotaRecon.ps1.
# Regenerate with tools/New-QRReferences.ps1 whenever Azure ships new SKUs.
# Source: GET /providers/Microsoft.Compute/skus?api-version=2021-07-01
# FamilyKey is what you would type in templates/skus.csv to hit a family;
# Size is what you would type to hit a specific size.
"Family","FamilyKey","Size","vCPUs","MemoryGB","RegionsOffered"
"Standard NCASv3_T4 Family","ncasv3t4","Standard_NC16as_T4_v3","16","110","AustraliaCentral,AustraliaCentral2,australiaeast,brazilsouth,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,ItalyNorth,japaneast,japanwest,KoreaCentral,MalaysiaWest,northcentralus,northeurope,PolandCentral,southcentralus,southeastasia,SouthIndia,SpainCentral,SwedenCentral,uksouth,westeurope,westus,westus2,WestUS3"
"Standard NCASv3_T4 Family","ncasv3t4","Standard_NC4as_T4_v3","4","28","AustraliaCentral,AustraliaCentral2,australiaeast,brazilsouth,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,ItalyNorth,japaneast,japanwest,KoreaCentral,MalaysiaWest,northcentralus,northeurope,PolandCentral,southcentralus,southeastasia,SouthIndia,SpainCentral,SwedenCentral,uksouth,westeurope,westus,westus2,WestUS3"
"Standard NCASv3_T4 Family","ncasv3t4","Standard_NC64as_T4_v3","64","440","AustraliaCentral,AustraliaCentral2,australiaeast,brazilsouth,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,ItalyNorth,japaneast,japanwest,KoreaCentral,MalaysiaWest,northcentralus,northeurope,PolandCentral,southcentralus,southeastasia,SouthIndia,SpainCentral,SwedenCentral,uksouth,westeurope,westus,westus2,WestUS3"
"Standard NCASv3_T4 Family","ncasv3t4","Standard_NC8as_T4_v3","8","56","AustraliaCentral,AustraliaCentral2,australiaeast,brazilsouth,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,ItalyNorth,japaneast,japanwest,KoreaCentral,MalaysiaWest,northcentralus,northeurope,PolandCentral,southcentralus,southeastasia,SouthIndia,SpainCentral,SwedenCentral,uksouth,westeurope,westus,westus2,WestUS3"
"standard NDAMSv4_A100Family","ndamsv4a100","Standard_ND96amsr_A100_v4","96","1800","CanadaEast,CentralUSEUAP,eastus,eastus2,ItalyNorth,southcentralus,SwedenCentral,uksouth,ukwest,westeurope,westus2"
"Standard NDASv4_A100 Family","ndasv4a100","Standard_ND96asr_v4","96","900","CentralUSEUAP,eastus,southcentralus,westeurope,westus2"
"standardAv2Family","av2","Standard_A1_v2","1","2","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,EastUSSLV,EastUSSTG,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,NortheastUS5,northeurope,NorwayEast,NorwayWest,PolandCentral,QatarCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUS2,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SoutheastUS,SoutheastUS3,SoutheastUS5,SouthIndia,SouthwestUS,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,TaiwanNorthwest,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,WestIndia,westus,westus2,WestUS3"
"standardAv2Family","av2","Standard_A2_v2","2","4","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,EastUSSLV,EastUSSTG,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,NortheastUS5,northeurope,NorwayEast,NorwayWest,PolandCentral,QatarCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUS2,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SoutheastUS,SoutheastUS3,SoutheastUS5,SouthIndia,SouthwestUS,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,TaiwanNorthwest,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,WestIndia,westus,westus2,WestUS3"
"standardAv2Family","av2","Standard_A2m_v2","2","16","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,EastUSSLV,EastUSSTG,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,NortheastUS5,northeurope,NorwayEast,NorwayWest,PolandCentral,QatarCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUS2,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SoutheastUS,SoutheastUS3,SoutheastUS5,SouthIndia,SouthwestUS,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,TaiwanNorthwest,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,WestIndia,westus,westus2,WestUS3"
"standardAv2Family","av2","Standard_A4_v2","4","8","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,EastUSSLV,EastUSSTG,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,NortheastUS5,northeurope,NorwayEast,NorwayWest,PolandCentral,QatarCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUS2,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SoutheastUS,SoutheastUS3,SoutheastUS5,SouthIndia,SouthwestUS,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,TaiwanNorthwest,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,WestIndia,westus,westus2,WestUS3"
"standardAv2Family","av2","Standard_A4m_v2","4","32","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,EastUSSLV,EastUSSTG,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,NortheastUS5,northeurope,NorwayEast,NorwayWest,PolandCentral,QatarCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUS2,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SoutheastUS,SoutheastUS3,SoutheastUS5,SouthIndia,SouthwestUS,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,TaiwanNorthwest,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,WestIndia,westus,westus2,WestUS3"
"standardAv2Family","av2","Standard_A8_v2","8","16","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,EastUSSLV,EastUSSTG,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,NortheastUS5,northeurope,NorwayEast,NorwayWest,PolandCentral,QatarCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUS2,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SoutheastUS,SoutheastUS3,SoutheastUS5,SouthIndia,SouthwestUS,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,TaiwanNorthwest,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,WestIndia,westus,westus2,WestUS3"
"standardAv2Family","av2","Standard_A8m_v2","8","64","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,EastUSSLV,EastUSSTG,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,NortheastUS5,northeurope,NorwayEast,NorwayWest,PolandCentral,QatarCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUS2,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SoutheastUS,SoutheastUS3,SoutheastUS5,SouthIndia,SouthwestUS,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,TaiwanNorthwest,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,WestIndia,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B16als_v2","16","32","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B16as_v2","16","64","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B2als_v2","2","4","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B2as_v2","2","8","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B2ats_v2","2","1","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B32als_v2","32","64","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B32as_v2","32","128","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B4als_v2","4","8","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B4as_v2","4","16","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B8als_v2","8","16","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBasv2Family","basv2","Standard_B8as_v2","8","32","AustraliaCentral,AustraliaCentral2,australiaeast,australiasoutheast,AustriaEast,BelgiumCentral,brazilsouth,BrazilSoutheast,CanadaCentral,CanadaEast,CentralIndia,centralus,CentralUSEUAP,ChileCentral,DenmarkEast,eastasia,eastus,eastus2,EastUS2EUAP,EastUS3,FranceCentral,FranceSouth,GermanyNorth,GermanyWestCentral,IndiaSouthCentral,IndonesiaCentral,IsraelCentral,IsraelNorthwest,ItalyNorth,japaneast,japanwest,JioIndiaCentral,JioIndiaWest,KoreaCentral,KoreaSouth,MalaysiaSouth,MalaysiaWest,MexicoCentral,NewZealandNorth,northcentralus,northeurope,NorwayEast,NorwayWest,PolandCentral,SaudiArabiaEast,SouthAfricaNorth,SouthAfricaWest,southcentralus,SouthCentralUSSTG,southeastasia,SoutheastAsia3,SouthIndia,SpainCentral,SwedenCentral,SwedenSouth,SwitzerlandNorth,SwitzerlandWest,TaiwanNorth,UAECentral,UAENorth,uksouth,ukwest,westcentralus,WestCentralUSFRE,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B16pls_v2","16","32","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B16ps_v2","16","64","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B2pls_v2","2","4","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B2ps_v2","2","8","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B2pts_v2","2","1","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B4pls_v2","4","8","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B4ps_v2","4","16","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B8pls_v2","8","16","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
"standardBpsv2Family","bpsv2","Standard_B8ps_v2","8","32","australiaeast,CanadaCentral,CentralIndia,centralus,eastasia,eastus,eastus2,EastUS2EUAP,FranceCentral,GermanyWestCentral,japaneast,northcentralus,northeurope,southcentralus,southeastasia,SwedenCentral,uksouth,westcentralus,westeurope,westus,westus2,WestUS3"
